"Category","Code","Product Name","Content","Actual Price","Price"
"","5","10 CM ELECTRIC","BOX","110","17"
"","6","10 CM CRACLING","BOX","125","19"
"","7","10 CM SUPREME GREEN","BOX","130","20"
"","8","10 CM SPARKLING RED","BOX","140","21"
"","13","15 CM ELECTRIC","BOX","225","34"
"","14","15 CM CRACKLING","BOX","247.5","38"
"","15","15 CM SUPREME GREEN","BOX","255","39"
"","16","15 CM SPARKLING RED","BOX","270","41"
"","17","30 CM ELECTRIC","BOX","225","34"
"","18","30 cm CRACKLING","BOX","247.5","38"
"","19","30 CM SUPREME GREEN","BOX","250","38"
"","20","30 CM SPARKLING RED","BOX","270","41"
"","21","50 CM ELECTRIC TUBE","BOX","1050","158"
"","22","50 CM CRACKLING TUBE","BOX","1200","180"
"","23","FLOWER POTS BIG","BOX","360","54"
"","24","FLOWER POTS SPECIAL","BOX","460","69"
"","25","FLOWER POTS ASOKA","BOX","670","101"
"","27","FLOWER POTS DLX","BOX","1000","150"
"","26","COLOURKOTI","BOX","1150","173"
"","28","TRICOLOUR","BOX","1430","215"
"","30","GROUND CHAKKAR SPECIAL","BOX","320","48"
"","31","GROUND CHAKKAR SPINNER SPL","BOX","500","75"
"","32","GROUND CHAKKAR SPINNER DLX","BOX","750","113"
"","300","4X4 WHEEL","BOX","750","113"
"","33","WIRECHAKKAR","BOX","1000","150"
"","34","1 1/2 TWINKLINBG STAR","BOX","180","27"
"","35","4 TWINKLING STAR","BOX","490","74"
"","52","RED BIJILLI","PKT","200","30"
"","39","2 3/4 KURUVI CRACKERS","PKT","53","8"
"","40","3 1/2 LAKSHMI CRACKERS","PKT","70","11"
"","41","4 LAKSHMI CRACKERS","PKT","110","17"
"","43","5 Dlx CRACKERS","PKT","220","33"
"","44","GOLD LAKSHMI CRACKERS","PKT","190","29"
"","60","HYDRO BOMB","BOX","420","63"
"","61","MARSAL KING","BOX","540","81"
"","62","MARSAL CLASSIC","BOX","650","98"
"","63","MARSAL AGNI","BOX","1080","162"
"","67","HOLI RED","BOX","240","36"
"","68","HOLI GREEN","BOX","240","36"
"","69","HOLI WHITE","BOX","240","36"
"","70","HOLI GOLD","BOX","240","36"
"","301","CHHOTA RED & GREEN","BOX","210","32"
"","74","KINDER JOY RED","BOX","480","72"
"","71","KINDER JOY GREEN","BOX","480","72"
"","72","KINDER JOY WHITE","BOX","480","72"
"","73","KINDER JOY GOLD","BOX","480","72"
"","302","LOLLI POP FOUNTAIN","BOX","490","74"
"","303","TIN","PCS","550","83"
"","304","PEACOCK FEATHER","BOX","550","83"
"","305","SILVER STAR","BOX","550","83"
"","306","ROCK STAR","BOX","750","113"
"","307","GOLDEN PEACOCK","BOX","840","126"
"","308","CANDY COLOURS","BOX","850","128"
"","309","HIGH VOLATEG","BOX","850","128"
"","310","POPPIN POPPCORN","BOX","850","128"
"","311","BLUE ICE","BOX","1390","209"
"","312","GOLD FISH","BOX","1390","209"
"","313","HI - SONA","BOX","1390","209"
"","314","POWER POT","BOX","1390","209"
"","315","BINGO","BOX","1390","209"
